,Time,User,Tweet
0,2022-12-12 08:53:03+00:00,dounardbondo,"RT @Phlowz: No fact checkers to tell us Atiku’s manifesto is different from what he’s saying here?

None? But if na obi, una go carry encyc…"
1,2022-12-12 08:52:56+00:00,Eccentric_sky,RT @WorthyBGB: You can only respond to texts you receive
2,2022-12-12 08:52:39+00:00,BBCSport,"✅ First Test series in Pakistan since 2005
✅ First test series win over Pakistan outside of the UK in 22 years
✅ Fi… https://t.co/ewScLHtEIJ"
3,2022-12-12 08:51:34+00:00,guardian,Flatmates are disgusting. What would it take to fall in love with one? | Emma Beddington https://t.co/gvrqZfe2uP
4,2022-12-12 08:51:10+00:00,eromosele__,RT @ChigozieObi_: I want o abeg
5,2022-12-12 08:51:01+00:00,dounardbondo,RT @nicholasibekwe: So with all the international fame and money Wizkid couldn't hire a half-decent PR person to write his public statement…
6,2022-12-12 08:50:44+00:00,dotunonamission,"Hi, It’s a good day to ask me if I play iMessage games."
7,2022-12-12 08:50:44+00:00,DamiElebe,Phot influenza! https://t.co/gAhLXGRRlc
8,2022-12-12 08:50:42+00:00,Sophie_NytSky,"Ladies and Gentlemen, My mentor 🤲🏾🤲🏾 @Mmonishor Football head of the Atong family, Buj’s bestest QS, I’m forever lo… https://t.co/JU5fAeRk4I"
9,2022-12-12 08:50:19+00:00,SkyNews,"Chancellor @Jeremy_Hunt says that the recession we are facing ""is likely to get worse before it gets better"". 
He a… https://t.co/Cgx2XLgbTH"
10,2022-12-12 08:50:15+00:00,Reuters,North Korean cyber spies deploy new tactic: tricking foreign experts into writing research for them… https://t.co/2eMAuJAJNt
11,2022-12-12 08:50:04+00:00,iamKingJuke,You know what... https://t.co/LMYls5AeEx
12,2022-12-12 08:50:04+00:00,Forbes,The New Reason Workers Say They Come To The Office? To Actually Focus On Their Work: Survey https://t.co/DEwXdS2JWG https://t.co/QJEq9VmKkv
13,2022-12-12 08:50:02+00:00,Reuters,"British nurses will go on strike this week, hitting already stretched hospitals and cranking up pressure on Prime M… https://t.co/ijjaKWcxVD"
14,2022-12-12 08:49:47+00:00,eromosele__,RT @star4t3: Dec in lagos is just a title. You guys are like this every month of the year
15,2022-12-12 08:49:31+00:00,BoluBillie,"Happy birthday to my beautiful baby @Doyinsola__O and happy anniversary to @IsbaLuxury ❤️❤️❤️

My very very sweet b… https://t.co/xiqHavFLKA"
16,2022-12-12 08:49:00+00:00,TheAfricaReport,RT @TheAfricaReport: #Ghana’s central bank must act as a lender of last resort to the banking system as a domestic debt restructuring depri…
17,2022-12-12 08:48:52+00:00,YESVS,RT @_DammyB_: Maybe this is what machala read.
18,2022-12-12 08:48:09+00:00,DamiElebe,Thank you! Yes o!!! https://t.co/XcnaH8KdVb
19,2022-12-12 08:48:02+00:00,AP,Bice is an American pit bull terrier with a sensitive job in Ukraine — comforting children traumatized by the war.… https://t.co/064POYL6BW
